"rown","ID","condition","genre","prime_order","probe","wm","wm_response","confidence","question_n","question","rating","mean_rating","open_text","final_eval","knew_piece","EXPRA","sex","age","exp_inf","rep_exp"
16,"128","low","rock",1,"QNVFYBLT","1","QNVFYBLT",5,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,7,"XXXXX",1,28,"0","2"
22,"128","baseline","classical",1,"GTVXCRHS","1","XVRHZ",1,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","6","",NA,7,"XXXXX",1,28,"2","0"
23,"128","baseline","classical",1,"GTVXCRHS","1","XVRHZ",1,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"2","0"
24,"128","baseline","classical",1,"GTVXCRHS","1","XVRHZ",1,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,7,"XXXXX",1,28,"2","0"
25,"128","baseline","classical",1,"GTVXCRHS","1","XVRHZ",1,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","6","",NA,7,"XXXXX",1,28,"2","0"
28,"128","high","classical",1,"HZSCMJPR","1","HZCSJMPR",5,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,7,"XXXXX",1,28,"1","1"
29,"128","high","classical",1,"HZSCMJPR","1","HZCSJMPR",5,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"1","1"
30,"128","high","classical",1,"HZSCMJPR","1","HZCSJMPR",5,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","7","6","",NA,7,"XXXXX",1,28,"1","1"
31,"128","high","classical",1,"HZSCMJPR","1","HZCSJMPR",5,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","6","",NA,7,"XXXXX",1,28,"1","1"
34,"128","low","classical",1,"PLBCWYZN","1","WLBCYZN",4,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","6","",NA,7,"XXXXX",1,28,"0","2"
35,"128","low","classical",1,"PLBCWYZN","1","WLBCYZN",4,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"0","2"
36,"128","low","classical",1,"PLBCWYZN","1","WLBCYZN",4,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","7","6","",NA,7,"XXXXX",1,28,"0","2"
37,"128","low","classical",1,"PLBCWYZN","1","WLBCYZN",4,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","6","",NA,7,"XXXXX",1,28,"0","2"
43,"13","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
44,"13","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"2","0"
45,"13","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
46,"13","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
49,"13","high","rock",1,"GDRXBZYH","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
50,"13","high","rock",1,"GDRXBZYH","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"1","1"
51,"13","high","rock",1,"GDRXBZYH","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
52,"13","high","rock",1,"GDRXBZYH","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
55,"13","low","rock",1,"QNVFYBLT","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
56,"13","low","rock",1,"QNVFYBLT","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"0","2"
57,"13","low","rock",1,"QNVFYBLT","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
58,"13","low","rock",1,"QNVFYBLT","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
64,"13","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
65,"13","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"2","0"
66,"13","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
67,"13","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"2","0"
70,"13","high","classical",1,"HZSCMJPR","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
71,"13","high","classical",1,"HZSCMJPR","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"1","1"
72,"13","high","classical",1,"HZSCMJPR","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
73,"13","high","classical",1,"HZSCMJPR","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"1","1"
76,"13","low","classical",1,"PLBCWYZN","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
77,"13","low","classical",1,"PLBCWYZN","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,38,"0","2"
78,"13","low","classical",1,"PLBCWYZN","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
79,"13","low","classical",1,"PLBCWYZN","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,38,"0","2"
85,"144","baseline","rock",2,"CMFSJBNR","1","cmrfs",2,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","3","3","",NA,1,"XXXXX",1,19,"2","0"
86,"144","baseline","rock",2,"CMFSJBNR","1","cmrfs",2,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","3","3","",NA,1,"XXXXX",1,19,"2","0"
87,"144","baseline","rock",2,"CMFSJBNR","1","cmrfs",2,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","3","",NA,1,"XXXXX",1,19,"2","0"
88,"144","baseline","rock",2,"CMFSJBNR","1","cmrfs",2,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","2","3","",NA,1,"XXXXX",1,19,"2","0"
91,"144","low","rock",2,"GYWLNPHM","1","gywlnp",4,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","2","3","",NA,1,"XXXXX",1,19,"0","1"
92,"144","low","rock",2,"GYWLNPHM","1","gywlnp",4,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","2","3","",NA,1,"XXXXX",1,19,"0","1"
93,"144","low","rock",2,"GYWLNPHM","1","gywlnp",4,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","3","",NA,1,"XXXXX",1,19,"0","1"
94,"144","low","rock",2,"GYWLNPHM","1","gywlnp",4,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","2","3","",NA,1,"XXXXX",1,19,"0","1"
97,"144","high","rock",2,"LXZNFMHY","1","lxznfs",2,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","2","2","",NA,1,"XXXXX",1,19,"1","2"
98,"144","high","rock",2,"LXZNFMHY","1","lxznfs",2,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","2","2","",NA,1,"XXXXX",1,19,"1","2"
99,"144","high","rock",2,"LXZNFMHY","1","lxznfs",2,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","2","2","",NA,1,"XXXXX",1,19,"1","2"
100,"144","high","rock",2,"LXZNFMHY","1","lxznfs",2,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","2","2","",NA,1,"XXXXX",1,19,"1","2"
106,"144","baseline","classical",2,"TBHNLXMZ","1","tbhl",3,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",1,19,"2","0"
107,"144","baseline","classical",2,"TBHNLXMZ","1","tbhl",3,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",1,19,"2","0"
108,"144","baseline","classical",2,"TBHNLXMZ","1","tbhl",3,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",1,19,"2","0"
109,"144","baseline","classical",2,"TBHNLXMZ","1","tbhl",3,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",1,19,"2","0"
112,"144","low","classical",2,"YQGNSXCL","1","yognsx",4,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",1,19,"0","1"
113,"144","low","classical",2,"YQGNSXCL","1","yognsx",4,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",1,19,"0","1"
114,"144","low","classical",2,"YQGNSXCL","1","yognsx",4,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",1,19,"0","1"
115,"144","low","classical",2,"YQGNSXCL","1","yognsx",4,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",1,19,"0","1"
118,"144","high","classical",2,"HBRTVNPC","1","hbrtv",4,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",1,19,"1","2"
119,"144","high","classical",2,"HBRTVNPC","1","hbrtv",4,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",1,19,"1","2"
120,"144","high","classical",2,"HBRTVNPC","1","hbrtv",4,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",1,19,"1","2"
121,"144","high","classical",2,"HBRTVNPC","1","hbrtv",4,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",1,19,"1","2"
127,"149","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,22,"2","0"
128,"149","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,22,"2","0"
129,"149","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","6","",NA,1,"XXXXX",2,22,"2","0"
130,"149","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","7","6","",NA,1,"XXXXX",2,22,"2","0"
133,"149","low","classical",2,"YQGNSXCL","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","4","",NA,1,"XXXXX",2,22,"0","1"
134,"149","low","classical",2,"YQGNSXCL","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","3","4","",NA,1,"XXXXX",2,22,"0","1"
135,"149","low","classical",2,"YQGNSXCL","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","4","",NA,1,"XXXXX",2,22,"0","1"
136,"149","low","classical",2,"YQGNSXCL","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","4","4","",NA,1,"XXXXX",2,22,"0","1"
139,"149","high","classical",2,"HBRTVNPC","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,22,"1","2"
140,"149","high","classical",2,"HBRTVNPC","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","7","6","",NA,1,"XXXXX",2,22,"1","2"
141,"149","high","classical",2,"HBRTVNPC","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,1,"XXXXX",2,22,"1","2"
142,"149","high","classical",2,"HBRTVNPC","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","7","6","",NA,1,"XXXXX",2,22,"1","2"
148,"149","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","4","",NA,1,"XXXXX",2,22,"2","0"
149,"149","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","4","",NA,1,"XXXXX",2,22,"2","0"
150,"149","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","2","4","",NA,1,"XXXXX",2,22,"2","0"
151,"149","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","4","4","",NA,1,"XXXXX",2,22,"2","0"
154,"149","low","rock",2,"GYWLNPHM","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,22,"0","1"
155,"149","low","rock",2,"GYWLNPHM","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,22,"0","1"
156,"149","low","rock",2,"GYWLNPHM","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","4","6","",NA,1,"XXXXX",2,22,"0","1"
157,"149","low","rock",2,"GYWLNPHM","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,22,"0","1"
160,"149","high","rock",2,"LXZNFMHY","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,1,"XXXXX",2,22,"1","2"
161,"149","high","rock",2,"LXZNFMHY","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,1,"XXXXX",2,22,"1","2"
162,"149","high","rock",2,"LXZNFMHY","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","6","",NA,1,"XXXXX",2,22,"1","2"
163,"149","high","rock",2,"LXZNFMHY","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,1,"XXXXX",2,22,"1","2"
169,"157","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","6","",NA,5,"XXXXX",2,56,"2","0"
170,"157","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","7","6","",NA,5,"XXXXX",2,56,"2","0"
171,"157","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,5,"XXXXX",2,56,"2","0"
172,"157","baseline","classical",2,"TBHNLXMZ","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,5,"XXXXX",2,56,"2","0"
175,"157","low","classical",2,"YQGNSXCL","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,5,"XXXXX",2,56,"0","1"
176,"157","low","classical",2,"YQGNSXCL","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,5,"XXXXX",2,56,"0","1"
177,"157","low","classical",2,"YQGNSXCL","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,5,"XXXXX",2,56,"0","1"
178,"157","low","classical",2,"YQGNSXCL","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,5,"XXXXX",2,56,"0","1"
181,"157","high","classical",2,"HBRTVNPC","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","7","",NA,5,"XXXXX",2,56,"1","2"
182,"157","high","classical",2,"HBRTVNPC","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","7","7","",NA,5,"XXXXX",2,56,"1","2"
183,"157","high","classical",2,"HBRTVNPC","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","7","7","",NA,5,"XXXXX",2,56,"1","2"
184,"157","high","classical",2,"HBRTVNPC","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","7","7","",NA,5,"XXXXX",2,56,"1","2"
190,"157","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,2,"XXXXX",2,56,"2","0"
191,"157","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","5","6","",NA,2,"XXXXX",2,56,"2","0"
192,"157","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,2,"XXXXX",2,56,"2","0"
193,"157","baseline","rock",2,"CMFSJBNR","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","6","",NA,2,"XXXXX",2,56,"2","0"
196,"157","low","rock",2,"GYWLNPHM","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","6","",NA,2,"XXXXX",2,56,"0","1"
197,"157","low","rock",2,"GYWLNPHM","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","5","6","",NA,2,"XXXXX",2,56,"0","1"
198,"157","low","rock",2,"GYWLNPHM","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,2,"XXXXX",2,56,"0","1"
199,"157","low","rock",2,"GYWLNPHM","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","6","",NA,2,"XXXXX",2,56,"0","1"
202,"157","high","rock",2,"LXZNFMHY","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","5","",NA,2,"XXXXX",2,56,"1","2"
203,"157","high","rock",2,"LXZNFMHY","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","5","5","",NA,2,"XXXXX",2,56,"1","2"
204,"157","high","rock",2,"LXZNFMHY","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","5","",NA,2,"XXXXX",2,56,"1","2"
205,"157","high","rock",2,"LXZNFMHY","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","5","5","",NA,2,"XXXXX",2,56,"1","2"
211,"19","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","5","4","",NA,1,"XXXXX",1,39,"2","0"
212,"19","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","4","4","",NA,1,"XXXXX",1,39,"2","0"
213,"19","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","4","",NA,1,"XXXXX",1,39,"2","0"
214,"19","baseline","rock",1,"RCYMGWBS","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","3","4","",NA,1,"XXXXX",1,39,"2","0"
217,"19","high","rock",1,"GDRXBZYH","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","4","5","",NA,1,"XXXXX",1,39,"1","1"
218,"19","high","rock",1,"GDRXBZYH","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","5","5","",NA,1,"XXXXX",1,39,"1","1"
219,"19","high","rock",1,"GDRXBZYH","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","5","5","",NA,1,"XXXXX",1,39,"1","1"
220,"19","high","rock",1,"GDRXBZYH","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","5","",NA,1,"XXXXX",1,39,"1","1"
223,"19","low","rock",1,"QNVFYBLT","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","2","3","",NA,1,"XXXXX",1,39,"0","2"
224,"19","low","rock",1,"QNVFYBLT","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","3","3","",NA,1,"XXXXX",1,39,"0","2"
225,"19","low","rock",1,"QNVFYBLT","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","4","3","",NA,1,"XXXXX",1,39,"0","2"
226,"19","low","rock",1,"QNVFYBLT","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","3","3","",NA,1,"XXXXX",1,39,"0","2"
232,"19","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","7","",NA,1,"XXXXX",1,39,"2","0"
233,"19","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","7","",NA,1,"XXXXX",1,39,"2","0"
234,"19","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","7","7","",NA,1,"XXXXX",1,39,"2","0"
235,"19","baseline","classical",1,"GTVXCRHS","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","7","7","",NA,1,"XXXXX",1,39,"2","0"
238,"19","high","classical",1,"HZSCMJPR","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","7","",NA,1,"XXXXX",1,39,"1","1"
239,"19","high","classical",1,"HZSCMJPR","0",NA,NA,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","7","",NA,1,"XXXXX",1,39,"1","1"
240,"19","high","classical",1,"HZSCMJPR","0",NA,NA,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","7","7","",NA,1,"XXXXX",1,39,"1","1"
241,"19","high","classical",1,"HZSCMJPR","0",NA,NA,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","7","7","",NA,1,"XXXXX",1,39,"1","1"
244,"19","low","classical",1,"PLBCWYZN","0",NA,NA,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","6","5","",NA,1,"XXXXX",1,39,"0","2"
