wm_load_key.keys,wm_recall_response.text,wm_practice_trials.thisRepN,wm_practice_trials.thisTrialN,wm_practice_trials.thisN,wm_practice_trials.thisIndex,wm_practice_trials.ran,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,wm_instruct_toggle.thisRepN,wm_instruct_toggle.thisTrialN,wm_instruct_toggle.thisN,wm_instruct_toggle.thisIndex,wm_instruct_toggle.ran,wm_load_toggle.thisRepN,wm_load_toggle.thisTrialN,wm_load_toggle.thisN,wm_load_toggle.thisIndex,wm_load_toggle.ran,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,confidence_resp.response,confidence_resp.rt,wm_recall_toggle.thisRepN,wm_recall_toggle.thisTrialN,wm_recall_toggle.thisN,wm_recall_toggle.thisIndex,wm_recall_toggle.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,wm_load_key.rt,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,6,0.6354,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",Auch hier habe ich keinen Unterschied gehört zu der ersten oder zweiten Performance. Das war doch drei Mal dasselbe oder werde ich verrückt?,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.","Wie gesagt, die Stimmung und der Rhythmus der Musik haben mir sehr gut gefallen. Nicht so gut fand ich jedoch die Tonqualität",0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCTYBFDK,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.6232,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,"Die Fab Four sind eine der bekanntesten Beatles Tribute Bands der Welt. Sie sind bereits unter anderem in Japan, Malaysia, Frankreich, Deutschland, den USA und Australien aufgetreten.
Die Band zeichnet sich durch ihre Liebe zum Detail aus. Sie verkörpern die Beatles in ihrem Verhalten, ihrer Sprechweise, ihrem Äußerem und vor allem in ihrem musikalischen Stil. Um authentisch zu wirken verzichtet die Band in jeglicher Form auf Lipsync und Ardy Sarraf, der eigentlich Rechtshänder ist, hat sich sogar antrainiert den Bass, wie Paul McCartney, mit links zu spielen.  
Die Leidenschaft der Gruppe hat sich ausgezahlt, so waren sie schon bei großen TV-Shows wie der Ellen Show oder Good Morning America zu Gast. Seit ihrer Gründung 1997 waren sie bereits viermal Headliner für die International Beatlesweek Liverpool und 2013 gewannen sie sogar einen Emmy Award für ihr PBS Special „The Fab Four: The Ultimate Tribute“.

Quelle: https://www.thefabfour.com/",beatles.wav,high,rock,2,LXZNFMHY,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das erste Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das zweite Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68520832,12.4489,0,1,1,1,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das dritte Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,52.72245039,4.1507,0,2,2,2,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,181.4426,6,4.5646,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,6,2.9234,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,1.5634,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,2.6288,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)","Mir hat gefallen, wie sich die Musik aufgebaut hat über die Zeit. Der Klang hätte besser sein können. Aber mir haben die verschiedenen Instrumente und die triumphale Stimmung gut gefallen.",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.","Mir hat an der Performance gut gefallen, dass es sehr professionell klang und dass die Spannung sehr allmählich und schleichend erhöht würde.

Ich finde die Tonqualität hätte besser sein können und zum Teil war das Stück nicht sehr melodisch",0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCTYBFDK,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.438,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",bruckner_excerpt.wav,baseline,classical,2,TBHNLXMZ,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,179.4021,6,2.7641,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,1.4604,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,3.9831,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,2.642,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",ich glaube das war dieselbe Audioaufnahme,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",s. letzte Textbox,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCDTBYV,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.9953,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,"Nach seinem Bachelorabschluss von der Royal Holloway University of London, setzt Kurt Schlichter seine Ausbildung als Dirigent in einem Master an dem Royal College of Music fort. Zu Beginn seines Studiums war es für Kurt sehr herausfordernd, eine breite Palette an klassischen Werken in Proben und Aufführungen zu dirigieren. Die Erfahrungen in seinem Studium konnten jedoch dazu beitragen, dass er sich positiv weiterentwickelte und als einer der besten seines Jahrgang den Abschluss machte.
Im Gespräch mit Kurt über seine Erfahrungen sagt er: ""Die Möglichkeiten am Royal College waren sehr abwechslungsreich und lohnend. Für mein Abschlussprojekt konnte ich eines meiner Lieblingsstücke von Bruckner dirigieren, was mir ermöglichte mich voll und ganz auf den komplexen Kompositionsstil dieses genialen Komponisten einzulassen.""

Quelle: http://www.k-schlichter-music.net",bruckner_excerpt.wav,low,classical,2,YQGNSXCL,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,171.0473,5,1.1815,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,4,0.9145,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,0.5849,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,1.0997,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",ed,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",ed,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCTDYBFK,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.6623,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,"Claudio Abbado ist einer der größten Dirigenten des 20. Jahrhunderts. Er war Chefdirigent der Berliner Philharmoniker und des Londoner Symphonieorchesters, eines der besten Ensembles der Welt. Claudios Karriere könnte erfolgreicher nicht sein. Er gewann den Internationalen Wettbewerb für Komponisten und einen Grammy Award in der Kategorie Best Small Ensemble Performance. Außerdem benannte die Orchesterakademie der Berliner Philharmoniker den Claudio Abbado Kompositionspreis zu seinen Ehren. 2004 dirigierte Abbado die Berliner Philharmoniker zu Bruckners Symphonie No. 4 in einer Reihe von aufgezeichneten Live-Konzerten. Die daraus resultierende CD gewann die Auszeichnung als beste Orchesteraufnahme des Jahres bei den Gramophone Awards.

Quelle: https://www.wikipedia.org/wiki/Claudio_Abbado",bruckner_excerpt.wav,high,classical,2,HBRTVNPC,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das erste Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7244898,0.968,0,0,0,0,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das zweite Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,66.79795777,0.4997,0,1,1,1,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,Wie sehr gefiel Ihnen das dritte Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,,,,,,,,,51.70382936,0.7755,0,2,2,2,1,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.7828,1,0,1,0,1
