sex_resp.response,age_resp.text,key_resp.keys,key_resp.rt,GSI_slider.response,GSI_slider.rt,GSI_question_loop.thisRepN,GSI_question_loop.thisTrialN,GSI_question_loop.thisN,GSI_question_loop.thisIndex,GSI_question_loop.ran,scale,questions_english,questions_german,labeller,labels_marks,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_slider.history,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,eval_key.keys,eval_key.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,knew_key.keys,knew_key.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
,,,,5,0.3332,0,10,10,7,1,perceptual abilities,When I hear music I can usually identify its genre,"Wenn ich ein Musikstück höre, kann ich normalerweise die Stilrichtung erkennen.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.2395,0,11,11,3,1,perceptual abilities,I can tell when people sing or play out of tune,"Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.2246,0,12,12,1,1,perceptual abilities,I can compare and discuss differences between two performances or versions of the same piece of music,Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinander vergleichen und über die Unterschiede diskutieren.,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.2992,0,13,13,10,1,musical training,I can play the following number of musical instruments (including voice),Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.,"0, 1, 2, 3, 4, 5, 6 oder mehr","""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.3494,0,14,14,15,1,musical training,I would not consider myself a musician,Ich würde mich selbst nicht als Musiker/-in bezeichnen,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.3834,0,15,15,9,1,musical training,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years",Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.,"0, 1, 2, 3, 4-5, 6-9, 10 oder mehr"," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,0.4586,4,1.0286,"[{""rating"":4,""responseTime"":1.028600000023836}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,6,0.6011,"[{""rating"":6,""responseTime"":0.6005000000000038},{""rating"":6,""responseTime"":0.6011000000238482}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,6,0.486,"[{""rating"":6,""responseTime"":0.4853000000715255},{""rating"":6,""responseTime"":0.4860000000000042}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,5,0.3761,"[{""rating"":5,""responseTime"":0.3756000000238444},{""rating"":5,""responseTime"":0.3761000000238397}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",asnhfalsjkdfasdf,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",f asd sdfasdfasd  dfas ,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird in ungefähr 45 Sekunden abgespielt.",bruckner_excerpt.wav,baseline,classical,2,TBHNLXMZ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,0.425,4,0.9608,"[{""rating"":4,""responseTime"":0.9603000000715269},{""rating"":4,""responseTime"":0.9608000000715293}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.7645,"[{""rating"":2,""responseTime"":0.34850000000000136},{""rating"":2,""responseTime"":0.349099999904638},{""rating"":2,""responseTime"":0.7645000000000053}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.4642,"[{""rating"":2,""responseTime"":0.4636000000238383},{""rating"":2,""responseTime"":0.4642000000476827}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.4803,"[{""rating"":2,""responseTime"":0.47970000004768565},{""rating"":2,""responseTime"":0.48030000007153006}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)", asdf asdf asdf,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",asdf asdfa sdf,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,"Nach seinem Bachelorabschluss von der Hochschule für Musik Saar (Saarbrücken), setzt Kurt Schlichter seine Ausbildung als Dirigent in einem Master an derselben Hochschule fort. Zu Beginn seines Studiums war es für Kurt sehr herausfordernd, eine breite Palette an klassischen Werken in Proben und Aufführungen zu dirigieren. Die Erfahrungen in seinem Studium konnten jedoch dazu beitragen, dass er sich positiv weiterentwickelte und als einer der besten seines Jahrgang den Abschluss machte.
Im Gespräch mit Kurt über seine Erfahrungen sagt er: ""Die Möglichkeiten am Royal College waren sehr abwechslungsreich und lohnend. Für mein Abschlussprojekt konnte ich eines meiner Lieblingsstücke von Bruckner dirigieren, was mir ermöglichte mich voll und ganz auf den komplexen Kompositionsstil dieses genialen Komponisten einzulassen.""

Quelle: http://www.hfm.saarland.de/konzerte/2018/schlichter-abschlusskonzert",bruckner_excerpt.wav,low,classical,2,YQGNSXCL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,0.32,6,1.1561,"[{""rating"":6,""responseTime"":1.1556000000238527},{""rating"":6,""responseTime"":1.156100000023855}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,5,0.2647,"[{""rating"":5,""responseTime"":0.2641000000238449},{""rating"":5,""responseTime"":0.26470000004768224}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.5161,"[{""rating"":2,""responseTime"":0.5156000000238379},{""rating"":2,""responseTime"":0.5161000000238403}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,1,0.5589,"[{""rating"":1,""responseTime"":0.558299999952311},{""rating"":1,""responseTime"":0.5588999999761484}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",sdfas dfas ,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.", sadfasd asdf ,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,"Claudio Abbado ist einer der größten Dirigenten des 20. Jahrhunderts. Er war Chefdirigent der Berliner Philharmoniker und des Londoner Symphonieorchesters, eines der besten Ensembles der Welt. Claudios Karriere könnte erfolgreicher nicht sein. Er gewann den Internationalen Wettbewerb für Komponisten und einen Grammy Award in der Kategorie Best Small Ensemble Performance. Außerdem benannte die Orchesterakademie der Berliner Philharmoniker den Claudio Abbado Kompositionspreis zu seinen Ehren. 2004 dirigierte Abbado die Berliner Philharmoniker zu Bruckners Symphonie No. 4 in einer Reihe von aufgezeichneten Live-Konzerten. Die daraus resultierende CD gewann die Auszeichnung als beste Orchesteraufnahme des Jahres bei den Gramophone Awards.

Quelle: https://www.wikipedia.org/wiki/Claudio_Abbado",bruckner_excerpt.wav,high,classical,2,HBRTVNPC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das erste Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,75.03954082,8.6981,space,4.0051,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das zweite Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,51.14821852,0.8804,space,2.4424,0,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,Wie sehr gefiel Ihnen das dritte Lied im Vergleich zu den anderen?,,,,,,,,,,,,,,,,,,,20.58954152,1.9625,space,0.5193,0,2,2,2,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.5324,space,0.7833,0,0,0,0,1
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,0.7158,4,0.6175,"[{""rating"":4,""responseTime"":0.6168999999761553},{""rating"":4,""responseTime"":0.6174999999999926}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,5,0.3559,"[{""rating"":5,""responseTime"":0.35539999997615723},{""rating"":5,""responseTime"":0.3558999999761596}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,6,0.697,"[{""rating"":6,""responseTime"":0.6965000000000003},{""rating"":6,""responseTime"":0.6970000000000027}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.4737,"[{""rating"":2,""responseTime"":0.4731000000238481},{""rating"":2,""responseTime"":0.4737000000476854}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",sdfa sdf ,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",sadf asdf ,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird in ungefähr 45 Sekunden abgespielt.",beatles.wav,baseline,rock,2,CMFSJBNR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,space,2.7619,4,0.8451,"[{""rating"":4,""responseTime"":0.8444999999999965},{""rating"":4,""responseTime"":0.8451000000238338}]",0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,5,0.4224,"[{""rating"":5,""responseTime"":0.4218999999761621},{""rating"":5,""responseTime"":0.4223999999761645}]",0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,6,0.5029,"[{""rating"":6,""responseTime"":0.5023999999761486},{""rating"":6,""responseTime"":0.502899999976151}]",0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,2,0.86,"[{""rating"":2,""responseTime"":0.859499999999997},{""rating"":2,""responseTime"":0.8599999999999994}]",0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
